time,Experiment,ESM,Source,burntFractionAll,grid_area,BA_area_pred
2041-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,356.84677,510051523.1101868,469.6836298638557
2042-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,384.50067,510051523.1101868,502.6119842972081
2043-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,348.47418,510051523.1101868,457.4747396706607
2044-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,449.65143,510051523.1101868,593.6190324271394
2045-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,419.85184,510051523.1101868,549.2094307804986
2046-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,367.202,510051523.1101868,474.644910234622
2047-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,359.77884,510051523.1101868,473.8162732116908
2048-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,433.89548,510051523.1101868,577.0332302060007
2049-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,357.97043,510051523.1101868,465.66477343962663
2050-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,419.82043,510051523.1101868,543.265498798971
2051-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,384.83157,510051523.1101868,507.00310408906637
2052-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,456.35385,510051523.1101868,599.3403076888977
2053-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,392.38498,510051523.1101868,511.6210720138457
2054-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,395.19308,510051523.1101868,520.2525723629425
2055-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,408.18198,510051523.1101868,527.8589198158581
2056-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,392.94458,510051523.1101868,517.107197393329
2057-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,384.47012,510051523.1101868,493.36613750304235
2058-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,341.19064,510051523.1101868,445.4297452946388
2059-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,387.11792,510051523.1101868,503.08140259874364
2060-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,388.56876,510051523.1101868,505.8351300023786
2061-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,354.51215,510051523.1101868,461.08084392727767
2062-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,404.86203,510051523.1101868,522.8093951461328
2063-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,421.18713,510051523.1101868,553.8768798409169
2064-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,400.41464,510051523.1101868,514.2838053564908
2065-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,369.63776,510051523.1101868,480.1241375330617
2066-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,399.35565,510051523.1101868,521.3731513174712
2067-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,407.87012,510051523.1101868,534.3140838541675
2068-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,427.5015,510051523.1101868,565.5926738045815
2069-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,397.76587,510051523.1101868,508.6548806475741
2070-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,433.06506,510051523.1101868,560.9907766857266
2071-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,417.98163,510051523.1101868,549.3171456486585
2072-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,440.5797,510051523.1101868,568.7199249948638
2073-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,431.96033,510051523.1101868,557.0302413618076
2074-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,401.14117,510051523.1101868,524.8783312007243
2075-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,374.12283,510051523.1101868,495.53708382344934
2076-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,470.77252,510051523.1101868,632.7678822520779
2077-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,397.87262,510051523.1101868,520.4602227642412
2078-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,396.4306,510051523.1101868,509.9888039733746
2079-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,424.20868,510051523.1101868,559.1208870356662
2080-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,393.6466,510051523.1101868,517.387146742088
2081-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,450.96844,510051523.1101868,586.1639700772334
2082-12-31,ssp126,CESM2-WACCM,ssp126 (CMIP6) - CESM2-WACCM,386.3298,510051523.1101868,503.3702120980265
