time,Fire Model,Experiment,ESM,Source,BA_area_pred
2008-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,569.6387724164176
2009-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,546.8504560331424
2010-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,556.0973756222179
2011-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,550.802695548728
2012-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,544.7056949230046
2013-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,549.8605175292894
2014-12-31 00:00:00,classic,historical,ukesm1-0-ll,historical (FireMIP) - classic - ukesm1-0-ll,574.4469666941437
1850-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,575.610002612087
1851-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,475.7144702705153
1852-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,537.0598181484525
1853-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,589.5042491457376
1854-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,569.7274462072452
1855-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,500.9568066062368
1856-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,536.0905626885896
1857-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,555.1891539443086
1858-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,550.7535059074629
1859-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,605.8874519108895
1860-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,528.4424612750081
1861-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,526.8539774530145
1862-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,544.877072029516
1863-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,533.8622365631101
1864-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,591.1261799489381
1865-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,566.088539636137
1866-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,531.0957902570403
1867-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,571.4094202180833
1868-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,557.2785967011339
1869-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,524.4184705835055
1870-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,523.0474677337154
1871-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,574.001246019577
1872-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,575.4311836030323
1873-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,616.1021910923486
1874-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,558.0273659722233
1875-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,535.1824838788265
1876-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,549.452664736162
1877-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,508.62372491251807
1878-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,534.8643493555825
1879-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,543.7661133213938
1880-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,568.2888095664294
1881-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,544.873105557363
1882-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,510.8113606595641
1883-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,590.8984710647326
1884-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,536.7010469227831
1885-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,543.0552398029564
1886-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,506.4348227848479
1887-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,518.5098116876088
1888-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,580.901324406893
1889-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,498.8345111731732
1890-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,529.0002456634322
1891-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,496.6450296157914
1892-12-31 00:00:00,classic,historical,gfdl-esm4,historical (FireMIP) - classic - gfdl-esm4,587.9641317277197
